,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,buyback_meeting_date,buyback_period_start,buyback_period_end,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,missing_cumulative_shares_XBRL,E02166,2024-01-12,2023-12-01,2023-12-31,"HONDA MOTOR CO., LTD.",5434285290.0,582143406.0,"192,000,000","200,000,000,000",2023年５月11日,2023年５月12日,2024年３月31日,"4,309,200","6,500,312,500","132,545,400","199,999,879,050",2024-12-01,981600,1499956000,,
1,,,,,,,,,,,,,,,,,,2024-12-04,1006400,1500065200,,
2,,,,,,,,,,,,,,,,,,2024-12-05,999700,1499960550,,
3,,,,,,,,,,,,,,,,,,2024-12-06,988000,1499985700,,
4,,,,,,,,,,,,,,,,,,2024-12-07,333500,500345050,,
