,pdf_name,ticker_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,approved_buyback_stocks,approved_buyback_stocks_yen,total_treasury_stocks_acquired,total_treasury_stocks_acquired_yen,cumulative_treasury_stocks_acquired,cumulative_treasury_stocks_acquired_yen,reporting_period_date,treasury_stock,treasury_stock_yen,disposed_stock,disposed_stock_yen
0,S100TDTM.pdf,E24453,2024-05-14,2024-04-01,2024-04-30,"papyless co., ltd.",,352117.0,500000.0,700000000.0,18000.0,16384700.0,,,2024-04-04,4000,3624400,,
1,,,,,,,,,,,,,,,2024-04-05,1900,1721800,,
2,,,,,,,,,,,,,,,2024-04-08,1000,907100,,
3,,,,,,,,,,,,,,,2024-04-09,4900,4442700,,
4,,,,,,,,,,,,,,,2024-04-11,400,365600,,
5,,,,,,,,,,,,,,,2024-04-12,3100,2836500,,
6,,,,,,,,,,,,,,,2024-04-15,2100,1935500,,
7,,,,,,,,,,,,,,,2024-04-16,600,551100,,
